bookingID,bookingdate,bookingtime,end_time,userid,roomid,purpose
1,2023/12/28,6,7,7,9,音樂創作
2,2024/1/18,9,11,17,6,工作坊
3,2023/12/22,22,23,9,4,社團會議
4,2023/12/12,5,6,8,1,個人練習
5,2024/1/11,22,23,17,6,團練
6,2024/2/4,5,6,13,3,器材維修
7,2023/12/10,19,20,5,2,社團活動準備
8,2023/12/10,9,10,9,6,音樂創作
9,2023/12/5,19,20,15,10,個人練習
10,2024/1/3,7,8,3,1,音樂教學
11,2024/1/7,12,13,3,8,工作坊
12,2024/2/6,17,18,12,1,音樂創作
13,2024/2/20,19,20,19,10,表演練習
14,2024/1/31,11,12,16,1,表演練習
15,2023/12/12,5,6,15,6,社團會議
16,2024/2/12,12,13,10,1,工作坊
17,2024/2/13,13,14,18,5,音樂創作
18,2023/12/27,6,7,9,10,工作坊
19,2024/1/2,4,5,18,6,社團會議
20,2023/12/19,8,9,13,5,音樂教學
21,2024/2/10,11,12,17,9,音樂教學
22,2024/2/13,5,6,5,1,器材維修
23,2023/12/19,15,16,18,5,錄音
24,2024/1/28,8,9,18,3,個人練習
25,2024/2/23,16,17,15,6,社團活動準備
26,2024/2/24,0,2,2,5,音樂創作
27,2024/1/9,5,8,6,9,表演練習
28,2024/2/14,9,10,19,2,音樂創作
29,2024/1/21,14,15,11,9,社團活動準備
30,2023/12/20,5,6,20,5,表演練習
31,2023/12/22,2,3,16,1,個人練習
32,2024/1/21,3,4,14,9,表演練習
33,2023/12/12,10,11,16,5,器材維修
34,2023/12/30,22,23,2,5,表演練習
35,2024/1/2,12,14,14,8,器材維修
36,2023/12/14,20,22,14,8,社團活動準備
37,2024/1/1,13,14,2,8,音樂創作
38,2024/1/26,10,11,12,10,錄音
39,2024/1/23,1,2,17,2,個人練習
40,2024/2/26,5,6,6,2,音樂教學
41,2023/12/12,5,6,14,7,工作坊
42,2024/2/25,23,24,6,8,錄音
43,2023/12/28,8,9,3,8,社團會議
44,2024/1/8,23,24,6,7,音樂教學
45,2023/12/21,18,19,18,6,音樂教學
46,2024/2/21,20,22,13,3,團練
47,2023/12/26,0,1,5,8,音樂教學
48,2024/1/14,13,14,5,4,音樂教學
49,2024/2/22,9,10,20,10,音樂教學
50,2023/12/31,7,8,4,8,社團活動準備
